Date,Day,Despacito
9/5/17,233,7304888
9/6/17,234,7274460
9/7/17,235,7319295
9/8/17,236,7615512
9/9/17,237,7678972
9/10/17,238,6611073
9/11/17,239,6438665
9/12/17,240,6485427
9/13/17,241,6372277
9/14/17,242,6392424
9/15/17,243,6897461
9/16/17,244,7115121
9/17/17,245,6217801
9/18/17,246,6079504
9/19/17,247,5845989
9/20/17,248,5696752
9/21/17,249,5804669
9/22/17,250,6287200
9/23/17,251,6457167
9/24/17,252,5543199
9/25/17,253,5294767
9/26/17,254,5328387
9/27/17,255,5405673
9/28/17,256,5451463
9/29/17,257,5887270
9/30/17,258,5934154
10/1/17,259,5047240
10/2/17,260,4914458
10/3/17,261,4800023
10/4/17,262,4817960
10/5/17,263,5017664
10/6/17,264,5298530
10/7/17,265,5611556
10/8/17,266,4812894
10/9/17,267,4476628
10/10/17,268,4399014
10/11/17,269,4426403
10/12/17,270,4476909
10/13/17,271,4864863
10/14/17,272,5175338
10/15/17,273,4532672
10/16/17,274,4220968
10/17/17,275,4203320
10/18/17,276,4126287
10/19/17,277,4176623
10/20/17,278,4551204
10/21/17,279,4680268
10/22/17,280,3957884
10/23/17,281,3837990
10/24/17,282,3906281
10/25/17,283,3979854
10/26/17,284,4010417
10/27/17,285,4328256
10/28/17,286,4612204
10/29/17,287,3796560
10/30/17,288,3642564
10/31/17,289,3888958
11/1/17,290,3662143
11/2/17,291,3700892
11/3/17,292,4010977
11/4/17,293,4020957
11/5/17,294,3358109
11/6/17,295,3133130
11/7/17,296,3069122
11/8/17,297,3188437
11/9/17,298,3360350
11/10/17,299,3555034
11/11/17,300,3762636
11/12/17,301,3234510
11/13/17,302,2995731
11/14/17,303,3106599
11/15/17,304,3228922
11/16/17,305,3184255
11/17/17,306,3644654
11/18/17,307,3922003
11/19/17,308,3343278
11/20/17,309,3046317
11/21/17,310,3089118
11/22/17,311,3123134
11/23/17,312,2979721
11/24/17,313,3056587
11/25/17,314,3277689
11/26/17,315,2809414
11/27/17,316,2590998
11/28/17,317,2641420
11/29/17,318,2717354
11/30/17,319,2661182
12/1/17,320,2774406
12/2/17,321,2967287
12/3/17,322,2459963
12/4/17,323,2300997
12/5/17,324,2862451
12/6/17,325,3356051
12/7/17,326,3962757
12/8/17,327,4094943
12/9/17,328,3959109
12/10/17,329,3140477
12/11/17,330,2966875
12/12/17,331,3233276
12/13/17,332,3314040
12/14/17,333,3325530
12/15/17,334,3361095
12/16/17,335,3489922
12/17/17,336,2961518
12/18/17,337,2781199
12/19/17,338,3003114
12/20/17,339,3154413
12/21/17,340,3240941
12/22/17,341,3336412
12/23/17,342,3332468
12/24/17,343,3084918
12/25/17,344,2945233
12/26/17,345,3008858
12/27/17,346,3463788
12/28/17,347,3498889
12/29/17,348,3661065
12/30/17,349,3912257
12/31/17,350,8203454
1/1/18,351,5557165
1/2/18,352,3980200
1/3/18,353,3890385
1/4/18,354,3512667
1/5/18,355,3450315
1/6/18,356,3394284
1/7/18,357,3020789
1/8/18,358,2755266
1/9/18,359,2791601
